"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_TOTAL","2024",122.69,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_LTB","2024",6.891,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_BAS","2024",11.085,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_INT","2024",2.61,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_X","2024",102.104,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_X","EDU_AGGREGATE_TOTAL","2024",0.574,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_X","EDU_AGGREGATE_LTB","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_X","EDU_AGGREGATE_X","2024",0.378,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_TOTAL","2024",263.295,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_LTB","2024",16.567,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_BAS","2024",18.523,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_INT","2024",14.158,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_ADV","2024",2.255,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_TOTAL","EDU_AGGREGATE_X","2024",211.791,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_TOTAL","2024",28.015,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_LTB","2024",1.663,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_BAS","2024",1.408,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_INT","2024",2.982,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_ADV","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_X","2024",21.685,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_TOTAL","2024",209.011,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_LTB","2024",13.821,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_BAS","2024",15.858,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_INT","2024",10.859,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_ADV","2024",1.979,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_X","2024",166.494,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_TOTAL","2024",25.695,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_LTB","2024",0.888,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_BAS","2024",1.257,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_INT","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_X","2024",23.234,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_X","EDU_AGGREGATE_TOTAL","2024",0.574,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_X","EDU_AGGREGATE_LTB","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_X","EDU_AGGREGATE_X","2024",0.378,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_TOTAL","2024",457.553,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_LTB","2024",30.561,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_BAS","2024",38.402,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_INT","2024",23.662,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_ADV","2024",3.387,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_X","2024",361.54,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_TOTAL","2024",28.987,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_LTB","2024",0.961,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_BAS","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_INT","2024",4.32,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_ADV","2024",1.974,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L3-4","EDU_AGGREGATE_X","2024",21.635,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_TOTAL","2024",331.571,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_LTB","2024",23.597,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_BAS","2024",28.477,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_INT","2024",17.05,,,,"R1:3513"
