"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_X","2021",19.72,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_TOTAL","2020",41.1,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_01","2020",70.51,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_02","2020",60.06,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_03","2020",69.88,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_11","2020",47.9,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_12","2020",50.5,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_13","2020",37.41,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_14","2020",62.69,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_21","2020",44.93,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_22","2020",50.71,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_23","2020",27.15,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_24","2020",49.74,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_25","2020",40.34,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_26","2020",42.52,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_31","2020",53.86,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_32","2020",46.18,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_33","2020",40.72,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_34","2020",45.61,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_35","2020",47.85,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_41","2020",45.23,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_42","2020",44.64,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_43","2020",45.46,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_44","2020",46.84,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_51","2020",45.4,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_52","2020",53.58,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_53","2020",39.76,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_54","2020",66.48,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_61","2020",35.66,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_62","2020",46.37,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_63","2020",35.96,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_71","2020",42.1,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_72","2020",49.31,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_73","2020",36.89,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_74","2020",60.57,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_75","2020",30.27,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_81","2020",42.88,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_82","2020",,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_83","2020",49.49,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_91","2020",45.8,"B","T11:142_I11:264","R1:3513"
